ADULT SERVICES,CAMPS,CHILD SERVICES AND WELFARE,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",CULTURAL INSTITUTIONS,DAY CARE AND PRE-KINDERGARTEN,EMERGENCY SERVICES,HEALTH CARE,HIGHER EDUCATION,HISTORICAL SITES,HUMAN SERVICES,JUSTICE AND CORRECTIONS,LIBRARIES,MATERIAL SUPPLIES AND MARKETS,"OFFICES, TRAINING, AND TESTING",OTHER PROPERTY,PARKS AND PLAZAS,PUBLIC SAFETY,SCHOOLS (K-12),SOLID WASTE,TELECOMMUNICATIONS,TRANSPORTATION,VOCATIONAL AND PROPRIETARY SCHOOLS,WATER AND WASTEWATER,YOUTH SERVICES,zip,revised_market_value,Cluster,year,felony_arrest_count,other_arrest_count,misdemeanor_arrest_count,violation_arrest_count,borough
0.0,2.0,11.0,1.0,80.0,16.0,1.0,36.0,5.0,15.0,37.0,0.0,2.0,0.0,6.0,0.0,17.0,0.0,8.0,11.0,1.0,57.0,52.0,0.0,38.0,10001,4866891.647969052,2,2016.0,6.0,0.0,3.0,0.0,Manhattan
8.0,2.0,29.0,9.0,58.0,52.0,3.0,55.0,0.0,18.0,49.0,0.0,3.0,1.0,2.0,1.0,32.0,2.0,36.0,20.0,0.0,26.0,2.0,0.0,137.0,10002,13677828.509433962,0,,,,,,Manhattan
0.0,6.0,11.0,2.0,109.0,18.0,3.0,30.0,5.0,43.0,14.0,0.0,1.0,0.0,3.0,0.0,21.0,2.0,26.0,18.0,0.0,60.0,6.0,0.0,23.0,10003,9624303.958333334,2,,,,,,Manhattan
0.0,1.0,4.0,0.0,21.0,6.0,0.0,24.0,5.0,24.0,11.0,1.0,1.0,0.0,13.0,0.0,24.0,0.0,11.0,5.0,0.0,17.0,5.0,0.0,35.0,10004,12187725.782608695,2,,,,,,Manhattan
0.0,1.0,1.0,0.0,7.0,4.0,1.0,9.0,0.0,13.0,9.0,0.0,0.0,0.0,6.0,0.0,17.0,0.0,4.0,2.0,0.0,6.0,2.0,0.0,17.0,10005,1260645.2926829269,3,,,,,,Manhattan
0.0,0.0,0.0,1.0,4.0,1.0,1.0,8.0,1.0,8.0,8.0,0.0,0.0,0.0,5.0,0.0,9.0,0.0,5.0,0.0,0.0,4.0,3.0,0.0,13.0,10006,3057819.7073170734,3,,,,,,Manhattan
1.0,0.0,0.0,6.0,16.0,12.0,1.0,6.0,2.0,24.0,9.0,7.0,3.0,0.0,70.0,0.0,9.0,0.0,6.0,1.0,0.0,15.0,7.0,0.0,6.0,10007,1449059.879120879,2,,,,,,Manhattan
0.0,1.0,21.0,2.0,37.0,24.0,1.0,13.0,0.0,5.0,22.0,0.0,1.0,0.0,1.0,0.0,43.0,1.0,15.0,21.0,0.0,7.0,1.0,1.0,56.0,10009,790029.0,1,2016.0,0.0,0.0,1.0,0.0,Manhattan
0.0,2.0,7.0,1.0,20.0,12.0,0.0,25.0,3.0,16.0,3.0,1.0,2.0,0.0,2.0,0.0,13.0,0.0,12.0,13.0,0.0,34.0,8.0,0.0,20.0,10010,2389469.341968912,2,2016.0,0.0,0.0,1.0,0.0,Manhattan
0.0,2.0,7.0,0.0,80.0,22.0,2.0,34.0,7.0,16.0,21.0,0.0,4.0,0.0,0.0,0.0,10.0,1.0,22.0,23.0,0.0,61.0,10.0,0.0,28.0,10011,1707689.473474801,2,,,,,,Manhattan
0.0,1.0,1.0,1.0,41.0,7.0,2.0,12.0,4.0,19.0,1.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,1.0,9.0,0.0,15.0,1.0,0.0,13.0,10012,2785900.484375,2,,,,,,Manhattan
2.0,4.0,8.0,6.0,85.0,24.0,2.0,16.0,2.0,18.0,25.0,7.0,0.0,0.0,31.0,0.0,17.0,3.0,7.0,11.0,0.0,39.0,8.0,1.0,38.0,10013,1058674.7702702703,2,2016.0,1.0,0.0,3.0,0.0,Manhattan
0.0,3.0,5.0,1.0,47.0,12.0,2.0,12.0,0.0,15.0,4.0,1.0,2.0,0.0,0.0,0.0,20.0,1.0,11.0,17.0,0.0,30.0,1.0,0.0,11.0,10014,2864395.461538461,2,2016.0,14.0,0.0,43.0,0.0,Manhattan
0.0,2.0,4.0,1.0,32.0,16.0,3.0,52.0,4.0,23.0,4.0,1.0,3.0,0.0,2.0,0.0,41.0,0.0,12.0,9.0,0.0,98.0,13.0,0.0,7.0,10016,5469697.488203267,2,2016.0,0.0,0.0,2.0,0.0,Manhattan
0.0,2.0,2.0,0.0,20.0,14.0,0.0,13.0,3.0,11.0,6.0,0.0,4.0,0.0,4.0,0.0,41.0,0.0,4.0,7.0,0.0,48.0,15.0,0.0,8.0,10017,26233343.99305556,2,,,,,,Manhattan
0.0,0.0,3.0,1.0,73.0,3.0,2.0,48.0,2.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,10.0,0.0,33.0,37.0,1.0,18.0,10018,2702798.273504273,2,,,,,,Manhattan
0.0,1.0,8.0,4.0,53.0,18.0,1.0,17.0,2.0,16.0,11.0,2.0,2.0,0.0,3.0,0.0,44.0,2.0,22.0,12.0,1.0,114.0,10.0,0.0,26.0,10019,5799146.102685624,2,,,,,,Manhattan
0.0,0.0,1.0,0.0,3.0,3.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10020,5541957.0,3,2016.0,3.0,0.0,32.0,1.0,Manhattan
0.0,2.0,2.0,0.0,18.0,17.0,1.0,21.0,2.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,8.0,8.0,0.0,84.0,0.0,0.0,12.0,10021,1923309.9075268817,2,2016.0,10.0,2.0,19.0,0.0,Manhattan
0.0,5.0,1.0,0.0,19.0,14.0,1.0,11.0,1.0,16.0,5.0,0.0,4.0,0.0,2.0,0.0,58.0,1.0,5.0,7.0,0.0,76.0,1.0,0.0,8.0,10022,4015180.9,2,2016.0,0.0,0.0,4.0,0.0,Manhattan
0.0,8.0,10.0,1.0,64.0,30.0,1.0,10.0,2.0,20.0,10.0,0.0,4.0,0.0,1.0,0.0,28.0,0.0,26.0,16.0,0.0,57.0,4.0,0.0,25.0,10023,6752849.7677595625,2,2016.0,1.0,0.0,37.0,0.0,Manhattan
1.0,6.0,5.0,0.0,35.0,28.0,2.0,16.0,1.0,21.0,7.0,0.0,1.0,0.0,1.0,0.0,10.0,1.0,29.0,17.0,0.0,33.0,0.0,0.0,26.0,10024,661966.5766550523,2,2016.0,3.0,1.0,65.0,1.0,Manhattan
1.0,4.0,13.0,0.0,62.0,49.0,2.0,40.0,1.0,18.0,16.0,0.0,2.0,0.0,0.0,0.0,11.0,1.0,26.0,20.0,0.0,43.0,1.0,0.0,37.0,10025,1369975.917475728,2,2016.0,4.0,0.0,44.0,0.0,Manhattan
0.0,2.0,11.0,0.0,16.0,20.0,0.0,7.0,1.0,6.0,10.0,0.0,1.0,0.0,1.0,0.0,11.0,0.0,16.0,7.0,0.0,11.0,1.0,0.0,28.0,10026,951349.0,3,,,,,,Manhattan
1.0,4.0,26.0,3.0,46.0,41.0,1.0,78.0,7.0,26.0,55.0,0.0,3.0,0.0,11.0,0.0,25.0,2.0,42.0,18.0,0.0,22.0,2.0,1.0,76.0,10027,15462675.533333331,0,2016.0,0.0,0.0,1.0,0.0,Manhattan
0.0,4.0,2.0,0.0,8.0,21.0,1.0,6.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,11.0,7.0,0.0,61.0,0.0,0.0,0.0,10028,2362416.245421245,3,2016.0,0.0,0.0,55.0,0.0,Manhattan
2.0,2.0,35.0,5.0,23.0,62.0,4.0,63.0,1.0,6.0,43.0,0.0,4.0,0.0,3.0,0.0,25.0,1.0,52.0,12.0,0.0,28.0,0.0,1.0,104.0,10029,396893.390625,0,2016.0,0.0,1.0,8.0,0.0,Manhattan
1.0,1.0,10.0,8.0,16.0,11.0,2.0,18.0,0.0,11.0,14.0,0.0,2.0,0.0,0.0,0.0,9.0,1.0,20.0,7.0,0.0,7.0,0.0,0.0,25.0,10030,4776666.666666667,1,,,,,,Manhattan
0.0,0.0,14.0,1.0,17.0,16.0,1.0,16.0,1.0,14.0,9.0,0.0,1.0,0.0,0.0,0.0,16.0,1.0,12.0,12.0,0.0,9.0,0.0,1.0,31.0,10031,1593428.5714285714,1,2016.0,10.0,0.0,30.0,0.0,Manhattan
2.0,0.0,9.0,3.0,19.0,23.0,3.0,35.0,1.0,15.0,9.0,1.0,1.0,0.0,1.0,1.0,14.0,1.0,17.0,6.0,0.0,15.0,0.0,0.0,53.0,10032,2409600.0,1,2016.0,8.0,0.0,24.0,0.0,Manhattan
3.0,1.0,5.0,0.0,23.0,22.0,1.0,7.0,2.0,7.0,15.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,18.0,9.0,0.0,14.0,0.0,0.0,40.0,10033,407486.5,1,,,,,,Manhattan
3.0,2.0,10.0,7.0,17.0,15.0,1.0,21.0,0.0,4.0,13.0,0.0,1.0,0.0,1.0,0.0,7.0,0.0,23.0,10.0,0.0,27.0,1.0,0.0,47.0,10034,3799877.3125,1,2016.0,7.0,0.0,34.0,0.0,Manhattan
0.0,1.0,20.0,11.0,14.0,22.0,1.0,90.0,4.0,7.0,35.0,1.0,1.0,0.0,9.0,0.0,32.0,2.0,33.0,19.0,0.0,27.0,0.0,3.0,52.0,10035,330937.75,0,,,,,,Manhattan
0.0,0.0,2.0,0.0,82.0,7.0,3.0,19.0,2.0,23.0,9.0,0.0,1.0,0.0,1.0,0.0,24.0,0.0,9.0,10.0,0.0,66.0,14.0,0.0,25.0,10036,3377065.939163498,2,2016.0,0.0,0.0,4.0,0.0,Manhattan
0.0,1.0,12.0,1.0,5.0,13.0,1.0,22.0,0.0,2.0,13.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,7.0,4.0,0.0,4.0,0.0,0.0,10.0,10037,1072250.0,3,,,,,,Manhattan
1.0,1.0,4.0,1.0,21.0,16.0,1.0,26.0,1.0,14.0,27.0,0.0,0.0,0.0,28.0,0.0,26.0,0.0,12.0,3.0,0.0,31.0,6.0,0.0,25.0,10038,3161020.9929577466,2,,,,,,Manhattan
1.0,1.0,2.0,0.0,11.0,10.0,0.0,11.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,15.0,3.0,0.0,18.0,0.0,0.0,34.0,10040,1410072.9069767443,3,,,,,,Manhattan
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10041,116250.0,3,,,,,,Manhattan
0.0,2.0,0.0,0.0,6.0,7.0,0.0,1.0,1.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,5.0,4.0,0.0,2.0,0.0,2.0,5.0,10044,11852892.6,3,2016.0,2.0,0.0,5.0,0.0,Manhattan
0.0,1.0,4.0,0.0,11.0,17.0,1.0,36.0,4.0,17.0,0.0,0.0,2.0,0.0,0.0,0.0,13.0,1.0,11.0,8.0,0.0,65.0,0.0,0.0,8.0,10065,6826939.577777778,2,2016.0,6.0,1.0,10.0,0.0,
0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,0.0,0.0,0.0,10069,413813.6666666667,3,2016.0,0.0,0.0,4.0,0.0,Manhattan
0.0,1.0,0.0,0.0,7.0,10.0,0.0,5.0,1.0,8.0,2.0,0.0,3.0,0.0,0.0,0.0,10.0,0.0,8.0,2.0,0.0,36.0,0.0,0.0,3.0,10075,1189494.1931540342,3,,,,,,
0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10101,216614.0,3,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10103,198216.0,3,,,,,,Manhattan
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10106,2416471.0,3,,,,,,Manhattan
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10107,170282.55172413794,3,,,,,,Manhattan
0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10108,364022.0,3,,,,,,
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10111,689455.0,3,,,,,,Manhattan
0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10116,5344000.0,3,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,10118,638116.5,3,,,,,,Manhattan
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,10119,1997889.0,3,,,,,,Manhattan
0.0,10.0,5.0,0.0,19.0,32.0,0.0,14.0,0.0,15.0,8.0,0.0,1.0,0.0,1.0,0.0,28.0,0.0,25.0,17.0,0.0,59.0,0.0,0.0,22.0,10128,1659966.7417218543,2,2016.0,2.0,0.0,6.0,0.0,Manhattan
0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10150,278970.3333333333,3,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10152,406379.0,3,,,,,,Manhattan
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10154,29635597.0,3,,,,,,Manhattan
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10155,3941843.75,3,,,,,,Manhattan
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10156,13492000.0,3,,,,,,
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10159,371671.0,3,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10162,252350.0,3,,,,,,Manhattan
0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10163,1035419.0,3,,,,,,
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10168,6372050.0,3,,,,,,Manhattan
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10169,586639.5,3,,,,,,Manhattan
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10170,7410639.692307692,3,,,,,,Manhattan
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10171,591110.0,3,,,,,,Manhattan
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10172,357685.0833333333,3,,,,,,Manhattan
0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10271,908000.0,3,,,,,,Manhattan
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10274,460268.0,3,,,,,,
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10279,490735.0,3,,,,,,Manhattan
0.0,2.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,19.0,0.0,0.0,3.0,10280,294419.16949152545,3,,,,,,Manhattan
0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,13.0,0.0,0.0,3.0,10282,413713.5,3,,,,,,Manhattan
2.0,2.0,22.0,7.0,13.0,19.0,1.0,38.0,2.0,9.0,44.0,4.0,1.0,0.0,33.0,0.0,24.0,1.0,24.0,17.0,1.0,28.0,2.0,2.0,47.0,10301,1382337.4225352113,0,2016.0,26.0,0.0,65.0,0.0,Staten
1.0,0.0,10.0,0.0,4.0,3.0,1.0,9.0,0.0,2.0,12.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,9.0,6.0,0.0,16.0,1.0,0.0,17.0,10302,397001.3783783784,3,2016.0,41.0,0.0,95.0,0.0,Staten
1.0,1.0,9.0,1.0,2.0,16.0,1.0,6.0,0.0,0.0,7.0,0.0,1.0,2.0,0.0,0.0,13.0,1.0,4.0,10.0,0.0,37.0,1.0,0.0,11.0,10303,305987.0740740741,1,2016.0,56.0,1.0,161.0,0.0,Staten
