,ARREST_YEAR,zip,LAW_CAT_CD,count
0,2023,10001,F,1
1,2023,10001,M,2
2,2023,10009,F,3
3,2023,10009,M,3
4,2023,10014,F,2
5,2023,10014,M,6
6,2023,10016,F,1
7,2023,10016,M,4
8,2023,10017,F,1
9,2023,10017,M,1
10,2023,10020,M,2
11,2023,10021,F,11
12,2023,10021,M,16
13,2023,10022,F,8
14,2023,10022,M,1
15,2023,10023,F,2
16,2023,10023,M,5
17,2023,10024,F,5
18,2023,10024,M,6
19,2023,10025,F,7
20,2023,10025,M,11
21,2023,10028,F,3
22,2023,10028,M,6
23,2023,10028,V,1
24,2023,10029,F,3
25,2023,10029,M,2
26,2023,10031,F,1
27,2023,10031,M,7
28,2023,10032,F,2
29,2023,10034,M,1
30,2023,10036,F,9
31,2023,10036,I,1
32,2023,10036,M,22
33,2023,10065,F,8
34,2023,10065,M,3
35,2023,10069,F,6
36,2023,10069,M,5
37,2023,10128,F,2
38,2023,10128,M,1
39,2023,10301,F,30
40,2023,10301,M,43
41,2023,10302,F,27
42,2023,10302,M,71
43,2023,10303,F,69
44,2023,10303,M,113
45,2023,10304,F,53
46,2023,10304,M,106
47,2023,10305,F,66
48,2023,10305,M,116
49,2023,10306,F,67
50,2023,10306,M,135
51,2023,10306,V,1
52,2023,10307,F,11
53,2023,10307,M,47
54,2023,10308,F,13
55,2023,10308,M,25
56,2023,10309,F,55
57,2023,10309,M,121
58,2023,10310,F,41
59,2023,10310,M,57
60,2023,10310,V,2
61,2023,10312,F,40
62,2023,10312,M,97
63,2023,10314,F,130
64,2023,10314,M,402
65,2023,10454,F,15
66,2023,10454,M,7
67,2023,10458,F,20
68,2023,10458,M,34
69,2023,10460,F,8
70,2023,10460,M,8
71,2023,10461,F,79
72,2023,10461,M,124
73,2023,10461,V,2
74,2023,10462,F,56
75,2023,10462,I,1
76,2023,10462,M,119
77,2023,10463,F,4
78,2023,10463,M,9
79,2023,10464,F,7
80,2023,10464,M,30
81,2023,10465,F,75
82,2023,10465,I,1
83,2023,10465,M,132
84,2023,10466,F,166
85,2023,10466,M,177
86,2023,10467,F,79
87,2023,10467,M,75
88,2023,10467,V,1
89,2023,10468,F,2
90,2023,10468,M,2
91,2023,10469,F,50
92,2023,10469,M,88
93,2023,10470,F,41
94,2023,10470,M,58
95,2023,10471,F,21
96,2023,10471,M,23
97,2023,10472,F,2
98,2023,10472,M,5
99,2023,10473,F,27
100,2023,10473,M,50
101,2023,10474,F,6
102,2023,10474,I,1
103,2023,10474,M,2
104,2023,10475,F,60
105,2023,10475,M,203
106,2023,10550,F,2
107,2023,10550,M,1
108,2023,11001,F,9
109,2023,11001,M,17
110,2023,11004,9,1
111,2023,11004,F,17
112,2023,11004,M,20
113,2023,11004,V,2
114,2023,11005,F,1
115,2023,11005,M,1
116,2023,11040,F,2
117,2023,11040,M,7
118,2023,11101,F,4
119,2023,11102,F,1
120,2023,11102,M,3
121,2023,11103,F,19
122,2023,11103,M,34
123,2023,11103,V,1
124,2023,11104,F,1
125,2023,11105,F,21
126,2023,11105,M,22
127,2023,11106,F,8
128,2023,11106,M,19
129,2023,11203,F,129
130,2023,11203,M,188
131,2023,11204,F,37
132,2023,11204,M,64
133,2023,11204,V,1
134,2023,11205,F,2
135,2023,11205,M,5
136,2023,11206,F,3
137,2023,11206,M,6
138,2023,11207,F,12
139,2023,11207,M,14
140,2023,11208,9,1
141,2023,11208,F,65
142,2023,11208,M,55
143,2023,11208,V,4
144,2023,11209,F,52
145,2023,11209,M,97
146,2023,11209,V,1
147,2023,11210,F,61
148,2023,11210,M,65
149,2023,11211,F,5
150,2023,11211,M,8
151,2023,11212,M,3
152,2023,11213,F,79
153,2023,11213,M,72
154,2023,11213,V,2
155,2023,11214,F,42
156,2023,11214,I,2
157,2023,11214,M,112
158,2023,11214,V,1
159,2023,11215,F,18
160,2023,11215,M,32
161,2023,11216,F,15
162,2023,11216,M,12
163,2023,11218,F,21
164,2023,11218,M,29
165,2023,11219,F,25
166,2023,11219,I,2
167,2023,11219,M,52
168,2023,11220,F,99
169,2023,11220,I,3
170,2023,11220,M,181
171,2023,11221,F,1
172,2023,11221,M,2
173,2023,11222,F,15
174,2023,11222,M,7
175,2023,11223,F,40
176,2023,11223,M,50
177,2023,11224,F,9
178,2023,11224,M,25
179,2023,11225,F,26
180,2023,11225,M,34
181,2023,11226,F,288
182,2023,11226,I,1
183,2023,11226,M,284
184,2023,11228,F,31
185,2023,11228,I,1
186,2023,11228,M,67
187,2023,11229,F,58
188,2023,11229,M,49
189,2023,11230,F,41
190,2023,11230,M,66
191,2023,11230,V,1
192,2023,11231,9,2
193,2023,11231,F,1
194,2023,11231,M,3
195,2023,11232,F,9
196,2023,11232,M,14
197,2023,11232,V,1
198,2023,11233,F,1
199,2023,11233,M,1
200,2023,11234,F,106
201,2023,11234,M,202
202,2023,11235,F,32
203,2023,11235,M,38
204,2023,11236,F,116
205,2023,11236,M,108
206,2023,11237,F,35
207,2023,11237,M,37
208,2023,11237,V,2
209,2023,11238,F,1
210,2023,11238,I,1
211,2023,11238,M,8
212,2023,11239,F,10
213,2023,11239,M,7
214,2023,11354,9,1
215,2023,11354,F,52
216,2023,11354,M,64
217,2023,11355,9,2
218,2023,11355,F,97
219,2023,11355,M,99
220,2023,11356,F,45
221,2023,11356,M,125
222,2023,11357,F,40
223,2023,11357,M,51
224,2023,11358,9,1
225,2023,11358,F,56
226,2023,11358,M,37
227,2023,11360,F,26
228,2023,11360,M,16
229,2023,11361,F,31
230,2023,11361,I,1
231,2023,11361,M,40
232,2023,11362,F,4
233,2023,11362,M,10
234,2023,11363,F,7
235,2023,11363,M,3
236,2023,11364,F,13
237,2023,11364,M,36
238,2023,11365,F,29
239,2023,11365,M,39
240,2023,11366,F,4
241,2023,11366,M,38
242,2023,11367,F,47
243,2023,11367,I,1
244,2023,11367,M,59
245,2023,11368,F,101
246,2023,11368,M,110
247,2023,11369,F,38
248,2023,11369,M,35
249,2023,11370,F,13
250,2023,11370,M,23
251,2023,11371,F,2
252,2023,11371,M,1
253,2023,11372,F,27
254,2023,11372,M,45
255,2023,11373,F,18
256,2023,11373,M,30
257,2023,11374,F,11
258,2023,11374,I,1
259,2023,11374,M,27
260,2023,11375,F,27
261,2023,11375,M,75
262,2023,11375,V,1
263,2023,11377,F,30
264,2023,11377,M,54
265,2023,11377,V,1
266,2023,11378,F,26
267,2023,11378,M,26
268,2023,11379,F,31
269,2023,11379,M,35
270,2023,11385,F,42
271,2023,11385,M,68
272,2023,11411,F,33
273,2023,11411,I,1
274,2023,11411,M,49
275,2023,11412,F,68
276,2023,11412,M,87
277,2023,11413,F,91
278,2023,11413,M,117
279,2023,11414,F,29
280,2023,11414,M,39
281,2023,11415,F,11
282,2023,11415,M,17
283,2023,11416,F,13
284,2023,11416,M,13
285,2023,11417,F,34
286,2023,11417,M,47
287,2023,11418,F,5
288,2023,11418,M,12
289,2023,11419,F,122
290,2023,11419,I,2
291,2023,11419,M,119
292,2023,11419,V,1
293,2023,11420,F,111
294,2023,11420,M,121
295,2023,11420,V,1
296,2023,11421,F,38
297,2023,11421,I,1
298,2023,11421,M,59
299,2023,11422,F,45
300,2023,11422,M,50
301,2023,11423,9,1
302,2023,11423,F,23
303,2023,11423,M,28
304,2023,11425,F,1
305,2023,11426,F,31
306,2023,11426,M,38
307,2023,11426,V,1
308,2023,11427,F,27
309,2023,11427,M,27
310,2023,11428,F,8
311,2023,11428,M,17
312,2023,11429,F,46
313,2023,11429,M,41
314,2023,11430,F,21
315,2023,11430,M,10
316,2023,11432,F,6
317,2023,11432,M,20
318,2023,11433,F,46
319,2023,11433,M,144
320,2023,11434,9,2
321,2023,11434,F,206
322,2023,11434,I,3
323,2023,11434,M,342
324,2023,11435,F,60
325,2023,11435,M,90
326,2023,11435,V,1
327,2023,11436,F,18
328,2023,11436,M,21
329,2023,11559,M,1
330,2023,11691,F,54
331,2023,11691,M,44
332,2023,11692,F,18
333,2023,11692,M,28
334,2023,11693,F,7
335,2023,11693,M,11
336,2023,11693,V,1
337,2023,11694,F,20
338,2023,11694,M,19
339,2023,11697,F,1
340,2023,11697,M,1
