zipcode,ADULT SERVICES,CAMPS,CHILD SERVICES AND WELFARE,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",CULTURAL INSTITUTIONS,DAY CARE AND PRE-KINDERGARTEN,EMERGENCY SERVICES,HEALTH CARE,HIGHER EDUCATION,HISTORICAL SITES,HUMAN SERVICES,JUSTICE AND CORRECTIONS,LIBRARIES,MATERIAL SUPPLIES AND MARKETS,"OFFICES, TRAINING, AND TESTING",OTHER PROPERTY,PARKS AND PLAZAS,PUBLIC SAFETY,SCHOOLS (K-12),SOLID WASTE,TELECOMMUNICATIONS,TRANSPORTATION,VOCATIONAL AND PROPRIETARY SCHOOLS,WATER AND WASTEWATER,YOUTH SERVICES,zip
83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6705.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10001.0,0.0,2.0,11.0,1.0,80.0,16.0,1.0,36.0,5.0,15.0,37.0,0.0,2.0,0.0,6.0,0.0,17.0,0.0,8.0,11.0,1.0,57.0,52.0,0.0,38.0,2
10002.0,8.0,2.0,29.0,9.0,58.0,52.0,3.0,55.0,0.0,18.0,49.0,0.0,3.0,1.0,2.0,1.0,32.0,2.0,36.0,20.0,0.0,26.0,2.0,0.0,137.0,3
10003.0,0.0,6.0,11.0,2.0,109.0,18.0,3.0,30.0,5.0,43.0,14.0,0.0,1.0,0.0,3.0,0.0,21.0,2.0,26.0,18.0,0.0,60.0,6.0,0.0,23.0,2
10004.0,0.0,1.0,4.0,0.0,21.0,6.0,0.0,24.0,5.0,24.0,11.0,1.0,1.0,0.0,13.0,0.0,24.0,0.0,11.0,5.0,0.0,17.0,5.0,0.0,35.0,2
10005.0,0.0,1.0,1.0,0.0,7.0,4.0,1.0,9.0,0.0,13.0,9.0,0.0,0.0,0.0,6.0,0.0,17.0,0.0,4.0,2.0,0.0,6.0,2.0,0.0,17.0,0
10006.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,8.0,1.0,8.0,8.0,0.0,0.0,0.0,5.0,0.0,9.0,0.0,5.0,0.0,0.0,4.0,3.0,0.0,13.0,0
10007.0,1.0,0.0,0.0,6.0,16.0,12.0,1.0,6.0,2.0,24.0,9.0,7.0,3.0,0.0,70.0,0.0,9.0,0.0,6.0,1.0,0.0,15.0,7.0,0.0,6.0,2
10008.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10009.0,0.0,1.0,21.0,2.0,37.0,24.0,1.0,13.0,0.0,5.0,22.0,0.0,1.0,0.0,1.0,0.0,43.0,1.0,15.0,21.0,0.0,7.0,1.0,1.0,56.0,4
10010.0,0.0,2.0,7.0,1.0,20.0,12.0,0.0,25.0,3.0,16.0,3.0,1.0,2.0,0.0,2.0,0.0,13.0,0.0,12.0,13.0,0.0,34.0,8.0,0.0,20.0,2
10011.0,0.0,2.0,7.0,0.0,80.0,22.0,2.0,34.0,7.0,16.0,21.0,0.0,4.0,0.0,0.0,0.0,10.0,1.0,22.0,23.0,0.0,61.0,10.0,0.0,28.0,2
10012.0,0.0,1.0,1.0,1.0,41.0,7.0,2.0,12.0,4.0,19.0,1.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,1.0,9.0,0.0,15.0,1.0,0.0,13.0,2
10013.0,2.0,4.0,8.0,6.0,85.0,24.0,2.0,16.0,2.0,18.0,25.0,7.0,0.0,0.0,31.0,0.0,17.0,3.0,7.0,11.0,0.0,39.0,8.0,1.0,38.0,2
10014.0,0.0,3.0,5.0,1.0,47.0,12.0,2.0,12.0,0.0,15.0,4.0,1.0,2.0,0.0,0.0,0.0,20.0,1.0,11.0,17.0,0.0,30.0,1.0,0.0,11.0,2
10016.0,0.0,2.0,4.0,1.0,32.0,16.0,3.0,52.0,4.0,23.0,4.0,1.0,3.0,0.0,2.0,0.0,41.0,0.0,12.0,9.0,0.0,98.0,13.0,0.0,7.0,2
10017.0,0.0,2.0,2.0,0.0,20.0,14.0,0.0,13.0,3.0,11.0,6.0,0.0,4.0,0.0,4.0,0.0,41.0,0.0,4.0,7.0,0.0,48.0,15.0,0.0,8.0,2
10018.0,0.0,0.0,3.0,1.0,73.0,3.0,2.0,48.0,2.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,10.0,0.0,33.0,37.0,1.0,18.0,2
10019.0,0.0,1.0,8.0,4.0,53.0,18.0,1.0,17.0,2.0,16.0,11.0,2.0,2.0,0.0,3.0,0.0,44.0,2.0,22.0,12.0,1.0,114.0,10.0,0.0,26.0,2
10020.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
10021.0,0.0,2.0,2.0,0.0,18.0,17.0,1.0,21.0,2.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,8.0,8.0,0.0,84.0,0.0,0.0,12.0,2
10022.0,0.0,5.0,1.0,0.0,19.0,14.0,1.0,11.0,1.0,16.0,5.0,0.0,4.0,0.0,2.0,0.0,58.0,1.0,5.0,7.0,0.0,76.0,1.0,0.0,8.0,2
10023.0,0.0,8.0,10.0,1.0,64.0,30.0,1.0,10.0,2.0,20.0,10.0,0.0,4.0,0.0,1.0,0.0,28.0,0.0,26.0,16.0,0.0,57.0,4.0,0.0,25.0,2
10024.0,1.0,6.0,5.0,0.0,35.0,28.0,2.0,16.0,1.0,21.0,7.0,0.0,1.0,0.0,1.0,0.0,10.0,1.0,29.0,17.0,0.0,33.0,0.0,0.0,26.0,2
10025.0,1.0,4.0,13.0,0.0,62.0,49.0,2.0,40.0,1.0,18.0,16.0,0.0,2.0,0.0,0.0,0.0,11.0,1.0,26.0,20.0,0.0,43.0,1.0,0.0,37.0,2
10026.0,0.0,2.0,11.0,0.0,16.0,20.0,0.0,7.0,1.0,6.0,10.0,0.0,1.0,0.0,1.0,0.0,11.0,0.0,16.0,7.0,0.0,11.0,1.0,0.0,28.0,4
10027.0,1.0,4.0,26.0,3.0,46.0,41.0,1.0,78.0,7.0,26.0,55.0,0.0,3.0,0.0,11.0,0.0,25.0,2.0,42.0,18.0,0.0,22.0,2.0,1.0,76.0,3
10028.0,0.0,4.0,2.0,0.0,8.0,21.0,1.0,6.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,11.0,7.0,0.0,61.0,0.0,0.0,0.0,0
10029.0,2.0,2.0,35.0,5.0,23.0,62.0,4.0,63.0,1.0,6.0,43.0,0.0,4.0,0.0,3.0,0.0,25.0,1.0,52.0,12.0,0.0,28.0,0.0,1.0,104.0,3
10030.0,1.0,1.0,10.0,8.0,16.0,11.0,2.0,18.0,0.0,11.0,14.0,0.0,2.0,0.0,0.0,0.0,9.0,1.0,20.0,7.0,0.0,7.0,0.0,0.0,25.0,4
10031.0,0.0,0.0,14.0,1.0,17.0,16.0,1.0,16.0,1.0,14.0,9.0,0.0,1.0,0.0,0.0,0.0,16.0,1.0,12.0,12.0,0.0,9.0,0.0,1.0,31.0,4
10032.0,2.0,0.0,9.0,3.0,19.0,23.0,3.0,35.0,1.0,15.0,9.0,1.0,1.0,0.0,1.0,1.0,14.0,1.0,17.0,6.0,0.0,15.0,0.0,0.0,53.0,4
10033.0,3.0,1.0,5.0,0.0,23.0,22.0,1.0,7.0,2.0,7.0,15.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,18.0,9.0,0.0,14.0,0.0,0.0,40.0,4
10034.0,3.0,2.0,10.0,7.0,17.0,15.0,1.0,21.0,0.0,4.0,13.0,0.0,1.0,0.0,1.0,0.0,7.0,0.0,23.0,10.0,0.0,27.0,1.0,0.0,47.0,4
10035.0,0.0,1.0,20.0,11.0,14.0,22.0,1.0,90.0,4.0,7.0,35.0,1.0,1.0,0.0,9.0,0.0,32.0,2.0,33.0,19.0,0.0,27.0,0.0,3.0,52.0,3
10036.0,0.0,0.0,2.0,0.0,82.0,7.0,3.0,19.0,2.0,23.0,9.0,0.0,1.0,0.0,1.0,0.0,24.0,0.0,9.0,10.0,0.0,66.0,14.0,0.0,25.0,2
10037.0,0.0,1.0,12.0,1.0,5.0,13.0,1.0,22.0,0.0,2.0,13.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,7.0,4.0,0.0,4.0,0.0,0.0,10.0,0
10038.0,1.0,1.0,4.0,1.0,21.0,16.0,1.0,26.0,1.0,14.0,27.0,0.0,0.0,0.0,28.0,0.0,26.0,0.0,12.0,3.0,0.0,31.0,6.0,0.0,25.0,2
10039.0,0.0,1.0,8.0,3.0,3.0,12.0,0.0,2.0,0.0,5.0,12.0,0.0,2.0,0.0,0.0,0.0,10.0,1.0,5.0,3.0,0.0,14.0,0.0,0.0,16.0,0
10040.0,1.0,1.0,2.0,0.0,11.0,10.0,0.0,11.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,15.0,3.0,0.0,18.0,0.0,0.0,34.0,0
10041.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0
10044.0,0.0,2.0,0.0,0.0,6.0,7.0,0.0,1.0,1.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,5.0,4.0,0.0,2.0,0.0,2.0,5.0,0
10048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
10055.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10065.0,0.0,1.0,4.0,0.0,11.0,17.0,1.0,36.0,4.0,17.0,0.0,0.0,2.0,0.0,0.0,0.0,13.0,1.0,11.0,8.0,0.0,65.0,0.0,0.0,8.0,2
10069.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,0.0,0.0,0.0,0
10075.0,0.0,1.0,0.0,0.0,7.0,10.0,0.0,5.0,1.0,8.0,2.0,0.0,3.0,0.0,0.0,0.0,10.0,0.0,8.0,2.0,0.0,36.0,0.0,0.0,3.0,0
10088.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10101.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0
10105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
10106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
10107.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10108.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10111.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10113.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10115.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0
10116.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0
10119.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0
10121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10122.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10128.0,0.0,10.0,5.0,0.0,19.0,32.0,0.0,14.0,0.0,15.0,8.0,0.0,1.0,0.0,1.0,0.0,28.0,0.0,25.0,17.0,0.0,59.0,0.0,0.0,22.0,2
10150.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
10153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
10154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0
10155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0
10156.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10159.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0
10163.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
10168.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
10170.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0
10171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0
10173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
10178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0
10179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10185.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10271.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0
10272.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
